1,,Categories,
2,1,Connected Services,
3,1,Properties,
4,3,AssemblyInfo,
5,1,References,
6,1,app,
7,6,controllers,
8,7,categories.js,
9,7,RouteController.js,
10,6,app.js,
11,1,App_Data,
12,1,App_Start,
13,1,Controllers,
14,1,Test,
15,14,Test1,
16,15,Test2,
17,16,Test3,
18,17,Test4,
19,18,Test5,
20,19,Test6,
21,20,Test7,
22,14,Test11
22,17,Test44
23,11,database.mdf,
24,,NewProject,
25,24,Scripts,
26,25,i18n,
27,26,angular-locale_af-na.js,
28,25,angular-route.js,
29,24,Templates,
30,29,template.html,
31,24,index.html,
32,24,Web.config,
